sentence	sentence_id	locale	reason
Ииашаҵәҟьаны, Аллаҳ, аӡәгьы ицхыраара иазрыцҳам, арҽхәаԥхьыӡқәагьы зыхәҭаҵәҟьоу иоуп.	35527a992e3121c7517499022c889fc5e72440ba9a8f9be81ba391cdb56a62eb	ab	????????????, ?????, ?????? ????????? ?????????, ???????????????? ???????????? ????.
Иеишьҭагылоу ртәарҭақәа рҿы инкыдиаалоит, насгьы урҭ гәырӷьаҽҳәашас ицқьашәқьоу ахатәҩызацәа раҭәаҳшьоит.	25eb88bf60c4f7d7b4981ec9afaf2504838e4502c1d992afebe70fb0aa94e5ab	ab	grammar-or-spelling
Иеишьҭагылоу ртәарҭақәа рҿы инкыдиаалоит, насгьы урҭ гәырӷьаҽҳәашас ицқьашәқьоу ахатәҩызацәа раҭәаҳшьоит.	25eb88bf60c4f7d7b4981ec9afaf2504838e4502c1d992afebe70fb0aa94e5ab	ab	???????????? ?????????? ??? ????????????, ?????? ??? ?????????????? ??????????? ??????????? ???????????.
Ажәҩанқәа рҿы иҟоугьы, адгьыл аҟны иҟоугьы Аллаҳ ирҽхәаԥхьыӡ еиҭарҳәоит. Уи дҳаракӡоуп, аҟәыӷара иақәиҭу иоуп.	28e39a2ad9f9ebad85bb165ab83dac8925d94d483f55434092509199a0087a6e	ab	grammar-or-spelling
Ажәҩанқәа рҿы иҟоугьы, адгьыл аҟны иҟоугьы Аллаҳ ирҽхәаԥхьыӡ еиҭарҳәоит. Уи дҳаракӡоуп, аҟәыӷара иақәиҭу иоуп.	28e39a2ad9f9ebad85bb165ab83dac8925d94d483f55434092509199a0087a6e	ab	????????? ??? ???????, ?????? ???? ??????? ????? ?????????? ??????????. ?? ??????????, ???????? ??????? ????.
Иимцуп ҳәаны дазхьамԥшыр еиҳа иеиӷьызма?	183108bd813f091345120fc08086cf78dd28adf40bd6ea0e6c09298edc61895d	ab	grammar-or-spelling
Иимцуп ҳәаны дазхьамԥшыр еиҳа иеиӷьызма?	183108bd813f091345120fc08086cf78dd28adf40bd6ea0e6c09298edc61895d	ab	????? ????? ??????????? ???? ??????????
Рдин аҽаҩшарахь икылганы, хаз-хазы ицазгьы шәреиԥшымхан.	2ff5cd31a27df0a6f4c0fffb4170ea256e1490ae180853feaacdec372771a219	ab	grammar-or-spelling
Рдин аҽаҩшарахь икылганы, хаз-хазы ицазгьы шәреиԥшымхан.	2ff5cd31a27df0a6f4c0fffb4170ea256e1490ae180853feaacdec372771a219	ab	???? ?????????? ????????, ???-???? ???? ????????????.
Уи злымшаз ауаҩы, Аллаҳ иҿаԥхьа, иаҭамзаара идикыларц азы, иааиԥмырҟьаӡакәа ҩымз есыҽны дычгароуп.	14925f16d58c75dc355f0cac0f504e0cf09919419af8e9ef75436242b6986a21	ab	grammar-or-spelling
Уи злымшаз ауаҩы, Аллаҳ иҿаԥхьа, иаҭамзаара идикыларц азы, иааиԥмырҟьаӡакәа ҩымз есыҽны дычгароуп.	14925f16d58c75dc355f0cac0f504e0cf09919419af8e9ef75436242b6986a21	ab	?? ??????? ?????, ????? ???????, ?????????? ????????? ???, ???????????????? ???? ?????? ???????????.
Машәырла иҟало ада, зхаҵаҩык даҽа зхаҵаҩык ишьра ҟалашьа змам ауп.	3477c8f84b1ca855c0088b471ccc254db280702b07214483aae1af5237bd72b0	ab	grammar-or-spelling
Машәырла иҟало ада, зхаҵаҩык даҽа зхаҵаҩык ишьра ҟалашьа змам ауп.	3477c8f84b1ca855c0088b471ccc254db280702b07214483aae1af5237bd72b0	ab	???????? ????? ???, ???????? ??? ???? ???????? ????? ??????? ???? ???.
Мамзаргьы, уи атәыла ауааԥсыра уахынла ишыцәаз, ҳгәаҟра дара ишырзымнеиуаз ала агәыӷра рымазма?	21ecfc7990a39f0689efe94e6146d5a7b12bf652241302efb8722a9377e4cd66	ab	grammar-or-spelling
Мамзаргьы, уи атәыла ауааԥсыра уахынла ишыцәаз, ҳгәаҟра дара ишырзымнеиуаз ала агәыӷра рымазма?	21ecfc7990a39f0689efe94e6146d5a7b12bf652241302efb8722a9377e4cd66	ab	?????????, ?? ?????? ?????????, ??????? ??????? ??????? ???? ????????????? ??? ??????? ????????
Ҳанцәа зегьы џьарак ҳаизигоит, насгьы иашарыла дҳақәыӡбоит.	006855aa502d0120eeb1ded04e35c606e9cb119aeeefc3e5e3a3d22cb0dee1f1	ab	???????? ??? ??????
Ҳәарада, абри аҟны кырзҵазкуа аҵатәхәқәа ыҟоуп, аха реиҳараҩык азхаҵаҩцәамхеит.	098906468ada890c3019ee883ab24670f09e0d18e22e1de01010b9bdc1607cc9	ab	???????, ???? ???? ?????????? ?????????? ?????? ?????, ??? ?????????? ???????????????.
Ҳәарада, ҳарҭ уаанӡагьы иара имацара ҳаиҳәон.	3bb6042a277f619f88186289faa06635d61ea81b38ae708c00cd72220e9a7df9	ab	???????, ???? ????????? ???? ??????? ????????.
Уи Аллаҳ иоуп, иара ида Анцәа дыҟаӡам.	24234a17f4ef478faeb748bda2528f979c111c2bf7a9de19b3bc9275c2834127	ab	?? ????? ????, ???? ??? ???? ???????.
Ари гәаларшәароуп. Ҳәарада, Аллаҳ иҳәатәхамҵара зҽацәызыхьчаз рԥеиԥш бзиоуп.	311df11b35a2fe29b9bd21f921a10e2cc4734697b16989d33395b3243cb68302	ab	??? ?????????????. ???????, ????? ??????? ???????? ????????????? ?????? ??????.
